,Breakdown,Ticker,Company,Total Revenue,Operating Revenue,Cost of Revenue,Gross Profit,Operating Expense,Selling General and Administrative,General & Administrative Expense,Other G and A,Selling & Marketing Expense,Research & Development,Other Operating Expenses,Operating Income,Net Non Operating Interest Income Expense,Interest Income Non Operating,Interest Expense Non Operating,Other Income Expense,Gain on Sale of Security,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Other Finance Cost,Earnings from Equity Interest,Special Income Charges,Other Special Charges,Net Income Discontinuous Operations,Otherunder Preferred Stock Dividend,Average Dilution Earnings,Depreciation Amortization Depletion,Depreciation & amortization,Gain on Sale of Business,Minority Interests,Amortization,Amortization of Intangibles,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Preferred Stock Dividends,Write Off
4,3/31/2018,BABA,Alibaba Group Holding Limited,"250,266,000","250,266,000","107,044,000","143,222,000","72,859,000","43,540,000","16,241,000","16,241,000","27,299,000","22,754,000","-555,000","70,363,000","26,929,000","30,495,000","3,566,000","3,111,000","-1,679,000","5,548,000","100,403,000","18,199,000","-20,792,000","63,985,000","64,093,000","61,412,000","61,412,000","63,964,000",0.0251,0.0245,"2,553,000","2,610,000","69,314,000","179,903,000","64,093,000","66,091,340","30,495,000","3,566,000","26,929,000","103,969,000",,"92,144,000","22,020,000","64,093,000","-2,437,000","-2,437,000","128,426,000",0,"-438,660",,,"-758,000",,,"108,000","-21,000","7,120,000","7,120,000",,"2,681,000","7,120,000","7,120,000","264,000","494,000",,
5,3/31/2017,BABA,Alibaba Group Holding Limited,"158,273,000","158,273,000","59,483,000","98,790,000","50,735,000","28,553,000","12,239,000","12,239,000","16,314,000","17,060,000","-451,000","48,055,000","5,888,000","8,559,000","2,671,000","6,086,000","2,328,000","6,086,000","60,029,000","13,776,000","-5,027,000","43,675,000","43,675,000","41,226,000","41,226,000","43,664,000",0.0175,0.017,"2,493,000","2,573,000","48,055,000","110,218,000","43,675,000","43,675,000","8,559,000","2,671,000","5,888,000","62,700,000",,"50,313,000","14,292,000","43,675,000",0,0,"76,992,000",0,0,,,0,,,0,"-11,000","5,122,000","5,122,000",,"2,449,000","5,122,000","5,122,000","264,000",0,,
1,TTM,BILI,Bilibili Inc.,"7,719,950","7,719,950","6,188,553","1,531,397","3,264,044","2,258,373","635,387","635,387","1,622,986","1,005,671",,"-1,732,647","103,312","165,027","61,715","19,919","-8,896","28,815","-1,609,416","37,071",,"-1,631,890","-1,631,890","-1,646,487","-1,646,487","-1,631,890",,,,,"-1,732,647","9,452,597","-1,631,890","-1,625,218","165,027","61,715","103,312","-1,547,701","-268,277","6,188,553","1,279,424","-1,631,890","-8,896","-8,896","-259,381",0,"-2,224",,,,,,,,,,,"8,233",,,,,,
2,12/31/2019,BILI,Bilibili Inc.,"6,777,922","6,777,922","5,587,673","1,190,249","2,685,424","1,791,013","592,497","592,497","1,198,516","894,411",,"-1,495,175","116,239","162,782","46,543","111,233","84,821","26,412","-1,267,703","35,867",,"-1,288,973","-1,288,973","-1,303,570","-1,303,570","-1,288,973",-0.004,-0.004,"323,162","323,162","-1,495,175","8,273,097","-1,288,973","-1,352,589","162,782","46,543","116,239","-1,221,160",,"5,587,673","1,168,109","-1,288,973","84,821","84,821","-137,872",0,"21,205",,,,,,0,,,,,"14,597",,,,,,
3,12/31/2018,BILI,Bilibili Inc.,"4,128,931","4,128,931","3,273,493","855,438","1,584,411","1,046,923","461,165","461,165","585,758","537,488",,"-728,973","68,706","68,706",,"121,234","94,779","26,455","-539,033","25,988",,"-616,325","-551,720","-565,021","-565,021","-616,325",-0.0026,-0.0026,"233,048","233,048","-728,973","4,857,904","-551,720","-622,804","68,706",,"68,706","-728,973",,"3,273,493","642,445","-551,720","94,779","94,779","-181,307",0,"23,695",,,,,,"64,605",,,,,"13,301",,,,,,
4,12/31/2017,BILI,Bilibili Inc.,"2,468,449","2,468,449","1,919,241","549,208","773,480","493,387","260,898","260,898","232,489","280,093",,"-224,272","1,483","1,483",,"47,920","29,402","18,518","-174,869","8,881",,"-312,994","-183,750","-183,750","-183,750","-312,994",-0.0013,-0.0013,"237,084","237,084","-224,272","2,692,721","-183,750","-205,801","1,483",,"1,483","-224,272",,"1,919,241","304,398","-183,750","29,402","29,402","50,724",0,"7,351",,,"18,518",,,0,,,,,0,,,,,"129,244",
5,12/31/2016,BILI,Bilibili Inc.,"523,310","523,310","772,812","-249,502","645,215","553,993","451,334","451,334","102,659","91,222",,"-894,717","1,502","1,502",,"-15,140","-11,472","-3,668","-908,355","3,141",,"-1,185,150","-910,066","-911,496","-911,496","-1,185,150",-0.0169,-0.0169,"69,939","69,939","-894,717","1,418,027","-910,066","-901,462","1,502",,"1,502","-894,717",,"772,812","161,518","-910,066","-11,472","-11,472","-721,727",0,"-2,868",,,,,,"161,933",,,,,"1,430",,,,,"113,151",
1,TTM,SPOT,Spotify Technology S.A.,"7,101,000","7,101,000","5,280,000","1,821,000","1,864,000","1,242,000","357,000","357,000","885,000","622,000",,"-43,000","-11,000","29,000","45,000","133,000","133,000",,"79,000","122,000",,"-43,000","-43,000","-43,000","-43,000","-81,000",,,,,"-43,000","7,144,000","-43,000","-122,800","29,000","45,000","-11,000","124,000","216,000","5,280,000","92,000","-43,000","133,000","133,000","83,000",0,"53,200","-5,000",,,,,,,,,,,,,,,,
2,12/31/2019,SPOT,Spotify Technology S.A.,"6,764,000","6,764,000","5,042,000","1,722,000","1,795,000","1,180,000","354,000","354,000","826,000","615,000",,"-73,000","-11,000","31,000","43,000","-47,000","-47,000",,"-131,000","55,000",,"-186,000","-186,000","-186,000","-186,000","-186,000",-0.001,-0.001,"180,961","180,961","-73,000","6,837,000","-186,000","-151,690","31,000","43,000","-11,000","-88,000",,"5,042,000","87,000","-186,000","-47,000","-47,000","46,000",0,"-12,690","-1,000",0,,,,,,,,,,,,,,,
3,12/31/2018,SPOT,Spotify Technology S.A.,"5,259,000","5,259,000","3,906,000","1,353,000","1,396,000","903,000","283,000","283,000","620,000","493,000",,"-43,000","30,000","25,000","6,000","-160,000","42,000","-201,000","-173,000","-95,000",,"-78,000","-78,000","-78,000","-78,000","-92,000",0,0,"177,154","181,210","-43,000","5,302,000","-78,000","-108,660","25,000","6,000","30,000","-167,000",,"3,906,000","32,000","-78,000","42,000","42,000","-177,000",0,"11,340","-11,000","-1,000",,,,,"-14,000",,,,,,,,,,
